utterance,emotion
261938_262464.wav,ang
125350_126078.wav,ang
034044_034410.wav,ang
079914_080490.wav,ang
224921_225367.wav,ang
055896_056250.wav,ang
018942_019272.wav,ang
206786_207316.wav,ang
004278_004656.wav,ang
052788_053129.wav,ang
228576_228884.wav,ang
202474_202968.wav,ang
102568_103020.wav,ang
220460_220917.wav,ang
058524_059316.wav,ang
023226_023736.wav,ang
021252_021666.wav,ang
248102_248721.wav,ang
000234_000594.wav,ang
091932_092280.wav,ang
233042_233314.wav,ang
020640_020964.wav,ang
172346_172966.wav,ang
003144_003552.wav,ang
047226_047598.wav,ang
008658_008964.wav,ang
252830_253288.wav,ang
147420_147806.wav,ang
038718_039072.wav,ang
201974_202474.wav,ang
039840_040182.wav,ang
218919_219432.wav,ang
053129_053741.wav,ang
227121_227628.wav,ang
135048_135470.wav,ang
048114_048438.wav,ang
174128_174754.wav,ang
103768_104190.wav,ang
174754_175350.wav,ang
086142_086442.wav,ang
055194_055578.wav,ang
171538_171918.wav,ang
095064_095478.wav,ang
165108_165824.wav,ang
055578_055896.wav,ang
012869_013380.wav,ang
074262_074640.wav,ang
189054_189404.wav,ang
145946_146698.wav,ang
106552_106902.wav,ang
140776_141372.wav,ang
137006_137506.wav,ang
104190_104678.wav,ang
197882_198466.wav,ang
090372_090804.wav,ang
205234_205469.wav,ang
004656_004992.wav,ang
060696_061140.wav,ang
034710_035022.wav,ang
031410_031889.wav,ang
056250_056705.wav,ang
021666_022038.wav,ang
000000_000234.wav,ang
025182_025476.wav,ang
254240_255136.wav,ang
022038_022554.wav,ang
150190_150756.wav,ang
059316_059820.wav,ang
015822_016056.wav,ang
176602_177078.wav,ang
135796_136494.wav,ang
104678_105052.wav,ang
105492_105938.wav,ang
073914_074262.wav,ang
181142_181498.wav,ang
188360_188686.wav,ang
136494_137006.wav,ang
132976_133578.wav,ang
188686_189054.wav,ang
115304_115870.wav,ang
215571_216132.wav,ang
118750_119490.wav,ang
117906_118256.wav,ang
200238_200708.wav,ang
217762_218280.wav,ang
187044_187364.wav,ang
026982_027354.wav,ang
082668_082980.wav,ang
214758_215150.wav,ang
185076_185396.wav,ang
047598_048114.wav,ang
222444_222914.wav,ang
056705_057120.wav,ang
192632_193048.wav,ang
234182_234532.wav,ang
011448_011802.wav,ang
062772_063150.wav,ang
113032_113628.wav,ang
109324_109890.wav,ang
208258_208817.wav,ang
036546_036852.wav,ang
161838_162398.wav,ang
261436_261938.wav,ang
134234_134656.wav,ang
258890_259308.wav,ang
183580_183906.wav,ang
215150_215571.wav,ang
003936_004278.wav,ang
012168_012684.wav,ang
069048_069468.wav,ang
155904_156410.wav,ang
221786_222219.wav,ang
263152_263882.wav,ang
178934_179368.wav,ang
124772_125350.wav,ang
051654_052008.wav,ang
057120_057438.wav,ang
212252_212716.wav,ang
143880_144380.wav,ang
086784_087306.wav,ang
089424_089964.wav,ang
107818_108516.wav,ang
016386_016740.wav,ang
228098_228340.wav,ang
256848_257264.wav,ang
187678_188016.wav,ang
223667_224048.wav,ang
142230_142682.wav,ang
071148_071490.wav,ang
152106_152594.wav,ang
032940_033324.wav,ang
132250_132976.wav,ang
117454_117906.wav,ang
070500_070806.wav,ang
109890_110648.wav,ang
081150_081468.wav,ang
141372_142230.wav,ang
251506_252221.wav,ang
159104_159664.wav,ang
180080_180436.wav,ang
219680_219952.wav,ang
027677_027995.wav,ang
097416_097778.wav,ang
041982_042660.wav,ang
062070_062429.wav,ang
005238_005628.wav,ang
114472_114954.wav,ang
156410_157054.wav,ang
071490_071886.wav,ang
250330_250698.wav,ang
239284_239676.wav,ang
208817_209042.wav,ang
139458_140186.wav,ang
255992_256492.wav,ang
069786_070194.wav,ang
157904_158622.wav,ang
148522_149010.wav,ang
181878_182264.wav,ang
184346_184768.wav,ang
186700_187044.wav,ang
196732_197274.wav,ang
240044_240526.wav,ang
243664_244230.wav,ang
078606_078924.wav,ang
230110_230394.wav,ang
037548_037872.wav,ang
027354_027677.wav,ang
026502_026982.wav,ang
170198_171020.wav,ang
231530_232023.wav,ang
048780_049098.wav,ang
244230_244610.wav,ang
238742_239284.wav,ang
066360_066786.wav,ang
025848_026189.wav,ang
144964_145560.wav,ang
040878_041286.wav,ang
207630_207962.wav,ang
122809_123585.wav,ang
137506_137940.wav,ang
224440_224921.wav,ang
017250_017424.wav,ang
008304_008658.wav,ang
230394_230798.wav,ang
121972_122448.wav,ang
052008_052398.wav,ang
095478_096018.wav,ang
222219_222444.wav,ang
166276_166812.wav,ang
188016_188360.wav,ang
078924_079254.wav,ang
081828_082194.wav,ang
085764_086142.wav,ang
157398_157904.wav,ang
096894_097416.wav,ang
005628_006036.wav,ang
002892_003144.wav,ang
183194_183580.wav,ang
161014_161838.wav,ang
043290_043716.wav,ang
185396_185710.wav,ang
239676_240044.wav,ang
058038_058524.wav,ang
020964_021252.wav,ang
124320_124772.wav,ang
089964_090372.wav,ang
016056_016386.wav,ang
054041_054528.wav,ang
036852_037242.wav,ang
051329_051654.wav,ang
112309_113032.wav,ang
015378_015822.wav,ang
122448_122809.wav,ang
181498_181878.wav,ang
