utterance,emotion
068306_068776.wav,hap
118540_118998.wav,hap
012522_012846.wav,hap
089092_089688.wav,hap
110350_110832.wav,hap
212312_212496.wav,hap
017800_018264.wav,hap
263688_264124.wav,hap
071380_071826.wav,hap
102496_102876.wav,hap
268022_268632.wav,hap
102876_103418.wav,hap
163440_164294.wav,hap
151082_151618.wav,hap
003528_003864.wav,hap
249446_249716.wav,hap
007398_007620.wav,hap
015888_016310.wav,hap
125800_126170.wav,hap
228692_229636.wav,hap
081830_082198.wav,hap
197938_198428.wav,hap
271666_271976.wav,hap
158384_158986.wav,hap
129038_129246.wav,hap
078824_079204.wav,hap
119402_120028.wav,hap
173086_173832.wav,hap
120028_120576.wav,hap
083910_084644.wav,hap
109044_109706.wav,hap
209169_209414.wav,hap
131968_132140.wav,hap
210484_211058.wav,hap
023912_024334.wav,hap
212496_212667.wav,hap
248869_249152.wav,hap
007620_007890.wav,hap
144280_144710.wav,hap
114468_115082.wav,hap
228162_228692.wav,hap
222330_223076.wav,hap
033104_033460.wav,hap
183986_184702.wav,hap
259008_259480.wav,hap
269750_270090.wav,hap
131272_131522.wav,hap
121935_122328.wav,hap
138178_138680.wav,hap
024334_024708.wav,hap
032182_032532.wav,hap
146624_147502.wav,hap
027672_028202.wav,hap
082198_082608.wav,hap
096498_096914.wav,hap
174386_175108.wav,hap
170548_171282.wav,hap
092990_093388.wav,hap
177480_177926.wav,hap
175884_176426.wav,hap
149524_150366.wav,hap
052764_053300.wav,hap
088520_089092.wav,hap
069602_069958.wav,hap
143532_144280.wav,hap
232446_232952.wav,hap
118998_119402.wav,hap
134274_135370.wav,hap
213571_213828.wav,hap
203010_203380.wav,hap
040356_041084.wav,hap
079204_079620.wav,hap
060322_060828.wav,hap
212928_213298.wav,hap
094564_095082.wav,hap
133724_134274.wav,hap
220362_220904.wav,hap
015096_015563.wav,hap
009474_009762.wav,hap
200354_200688.wav,hap
250838_251156.wav,hap
247146_247573.wav,hap
234462_235034.wav,hap
021862_022206.wav,hap
002508_002724.wav,hap
050480_050920.wav,hap
042204_042788.wav,hap
226790_227602.wav,hap
173832_174386.wav,hap
132400_132770.wav,hap
182428_183138.wav,hap
062582_062932.wav,hap
011430_011784.wav,hap
068776_069144.wav,hap
003150_003528.wav,hap
152768_153238.wav,hap
035034_035462.wav,hap
031820_032182.wav,hap
142116_142516.wav,hap
100148_100528.wav,hap
054234_054602.wav,hap
065329_065812.wav,hap
153238_153924.wav,hap
186700_187590.wav,hap
131772_131968.wav,hap
148958_149524.wav,hap
249716_249980.wav,hap
140538_140962.wav,hap
095082_095534.wav,hap
223076_223840.wav,hap
002724_003150.wav,hap
091050_091460.wav,hap
247778_248048.wav,hap
050920_051360.wav,hap
085144_085686.wav,hap
128180_128448.wav,hap
008070_008274.wav,hap
187590_188210.wav,hap
196022_196542.wav,hap
097504_097968.wav,hap
012846_013152.wav,hap
200872_201182.wav,hap
028998_029402.wav,hap
137174_137682.wav,hap
041084_041560.wav,hap
062932_063360.wav,hap
103418_103809.wav,hap
087772_088164.wav,hap
030656_031054.wav,hap
130330_130640.wav,hap
211058_211458.wav,hap
192356_192964.wav,hap
253136_253519.wav,hap
008274_008520.wav,hap
189630_190136.wav,hap
055754_056104.wav,hap
101316_101894.wav,hap
269392_269750.wav,hap
017040_017462.wav,hap
227602_228162.wav,hap
009762_010134.wav,hap
249152_249446.wav,hap
000000_000160.wav,hap
252554_252806.wav,hap
248594_248869.wav,hap
164866_165714.wav,hap
013152_013482.wav,hap
192964_193800.wav,hap
262284_262762.wav,hap
167424_167984.wav,hap
251456_251762.wav,hap
207776_208019.wav,hap
025872_026558.wav,hap
053300_053836.wav,hap
099052_099438.wav,hap
004908_005166.wav,hap
258278_259008.wav,hap
179376_179996.wav,hap
044542_044970.wav,hap
016310_016666.wav,hap
109706_110350.wav,hap
086572_086994.wav,hap
270418_270788.wav,hap
067420_067830.wav,hap
022628_023020.wav,hap
180550_181242.wav,hap
020066_020626.wav,hap
022206_022628.wav,hap
205928_206208.wav,hap
005604_005898.wav,hap
135890_136362.wav,hap
216744_217256.wav,hap
271976_272406.wav,hap
217256_217930.wav,hap
213828_214096.wav,hap
013944_014322.wav,hap
028202_028636.wav,hap
204624_204898.wav,hap
057478_057846.wav,hap
183138_183986.wav,hap
264124_264554.wav,hap
044970_045470.wav,hap
224930_225567.wav,hap
051752_052414.wav,hap
138680_139122.wav,hap
036070_036588.wav,hap
139122_139528.wav,hap
010320_010734.wav,hap
127066_127370.wav,hap
070350_070742.wav,hap
122328_122828.wav,hap
185580_186128.wav,hap
042788_043222.wav,hap
112470_113198.wav,hap
208778_208962.wav,hap
021434_021862.wav,hap
050076_050480.wav,hap
251762_252062.wav,hap
074186_074584.wav,hap
198630_199192.wav,hap
056104_056508.wav,hap
208019_208450.wav,hap
214096_214926.wav,hap
220904_221530.wav,hap
191008_191850.wav,hap
207364_207776.wav,hap
188210_188914.wav,hap
127370_127764.wav,hap
205421_205696.wav,hap
129685_130020.wav,hap
144710_145396.wav,hap
158986_159462.wav,hap
203822_203994.wav,hap
229636_230316.wav,hap
129556_129685.wav,hap
195348_195646.wav,hap
075698_076102.wav,hap
191850_192356.wav,hap
034660_035034.wav,hap
199728_200038.wav,hap
160558_161466.wav,hap
130020_130330.wav,hap
083548_083910.wav,hap
212667_212804.wav,hap
115794_116222.wav,hap
247573_247778.wav,hap
079964_080590.wav,hap
128448_128824.wav,hap
181778_182428.wav,hap
006534_006780.wav,hap
194276_194574.wav,hap
253723_253976.wav,hap
130640_130985.wav,hap
208450_208778.wav,hap
037914_038306.wav,hap
255596_256008.wav,hap
136768_137174.wav,hap
110832_111464.wav,hap
212804_212928.wav,hap
021018_021434.wav,hap
142516_143078.wav,hap
236196_236828.wav,hap
067830_068306.wav,hap
077282_077908.wav,hap
200038_200354.wav,hap
100528_101316.wav,hap
133312_133724.wav,hap
253519_253723.wav,hap
254723_255136.wav,hap
043638_044114.wav,hap
113818_114468.wav,hap
091460_092050.wav,hap
256873_257376.wav,hap
085686_086036.wav,hap
106858_107352.wav,hap
125252_125466.wav,hap
128824_129038.wav,hap
099438_100148.wav,hap
211458_211942.wav,hap
069144_069602.wav,hap
094148_094564.wav,hap
194574_194794.wav,hap
024708_025076.wav,hap
210119_210484.wav,hap
105238_105768.wav,hap
126170_126600.wav,hap
002106_002274.wav,hap
072994_073560.wav,hap
181242_181778.wav,hap
019294_019674.wav,hap
255136_255596.wav,hap
270090_270418.wav,hap
001823_002106.wav,hap
064908_065329.wav,hap
077908_078456.wav,hap
086036_086572.wav,hap
059828_060322.wav,hap
135370_135890.wav,hap
084644_085144.wav,hap
019674_020066.wav,hap
105768_106448.wav,hap
218454_219062.wav,hap
235690_236196.wav,hap
008520_008742.wav,hap
028636_028998.wav,hap
230316_231110.wav,hap
076102_076794.wav,hap
226169_226790.wav,hap
217930_218454.wav,hap
037480_037914.wav,hap
267340_268022.wav,hap
092050_092508.wav,hap
147502_148062.wav,hap
184702_185580.wav,hap
219062_219688.wav,hap
169952_170548.wav,hap
215467_216058.wav,hap
098480_099052.wav,hap
169368_169952.wav,hap
154610_155278.wav,hap
256462_256873.wav,hap
231110_231634.wav,hap
055036_055386.wav,hap
199472_199728.wav,hap
039560_040030.wav,hap
047170_047520.wav,hap
145944_146624.wav,hap
257376_257842.wav,hap
137682_138178.wav,hap
121472_121935.wav,hap
136362_136768.wav,hap
261328_261878.wav,hap
013482_013944.wav,hap
046410_046802.wav,hap
081300_081830.wav,hap
020626_021018.wav,hap
186128_186700.wav,hap
092508_092990.wav,hap
216058_216744.wav,hap
254246_254723.wav,hap
201312_201520.wav,hap
063974_064378.wav,hap
078456_078824.wav,hap
193800_194032.wav,hap
066288_067022.wav,hap
196906_197228.wav,hap
268632_269392.wav,hap
252062_252554.wav,hap
033460_033900.wav,hap
200688_200872.wav,hap
005166_005604.wav,hap
165714_166864.wav,hap
031470_031820.wav,hap
188914_189630.wav,hap
166864_167424.wav,hap
194794_195008.wav,hap
129246_129556.wav,hap
032532_033104.wav,hap
243554_244300.wav,hap
016666_017040.wav,hap
204898_205154.wav,hap
162544_163440.wav,hap
059310_059828.wav,hap
260371_260898.wav,hap
270788_271278.wav,hap
052414_052764.wav,hap
151618_152166.wav,hap
048930_049286.wav,hap
111464_111940.wav,hap
103809_104178.wav,hap
035462_036070.wav,hap
132140_132276.wav,hap
117932_118540.wav,hap
237496_238056.wav,hap
113198_113818.wav,hap
069958_070350.wav,hap
139528_140000.wav,hap
232952_233626.wav,hap
252806_253136.wav,hap
143078_143532.wav,hap
104659_105238.wav,hap
176426_176938.wav,hap
097968_098480.wav,hap
046036_046410.wav,hap
106448_106858.wav,hap
153924_154610.wav,hap
115426_115794.wav,hap
027022_027672.wav,hap
036588_037046.wav,hap
253976_254246.wav,hap
