utterance,emotion
115930_116298.wav,pok
228678_229084.wav,pok
117604_118158.wav,pok
192526_193036.wav,pok
022336_022722.wav,pok
147094_147922.wav,pok
285454_285964.wav,pok
116298_117152.wav,pok
155534_156236.wav,pok
228086_228678.wav,pok
039336_039752.wav,pok
054058_054666.wav,pok
213314_213864.wav,pok
133756_134250.wav,pok
140180_140668.wav,pok
017726_017986.wav,pok
268366_268808.wav,pok
048974_049408.wav,pok
193036_193966.wav,pok
267936_268366.wav,pok
026516_026932.wav,pok
270220_270626.wav,pok
195922_196408.wav,pok
202156_202684.wav,pok
260860_261482.wav,pok
168224_168908.wav,pok
018264_018578.wav,pok
032024_032500.wav,pok
232802_233304.wav,pok
105420_105902.wav,pok
020032_020478.wav,pok
015952_016212.wav,pok
066488_066880.wav,pok
180230_181010.wav,pok
109096_109578.wav,pok
136510_136998.wav,pok
000446_000958.wav,pok
263260_263786.wav,pok
037148_037612.wav,pok
234302_234852.wav,pok
078976_079466.wav,pok
047322_047756.wav,pok
056479_056914.wav,pok
167492_168224.wav,pok
241740_242380.wav,pok
001988_002428.wav,pok
250152_250564.wav,pok
239808_240442.wav,pok
274342_275362.wav,pok
240442_240992.wav,pok
212060_212448.wav,pok
009770_010228.wav,pok
120658_121068.wav,pok
023844_024398.wav,pok
207373_207882.wav,pok
064626_065126.wav,pok
243684_244048.wav,pok
126022_126522.wav,pok
007095_007668.wav,pok
005602_006018.wav,pok
254819_255160.wav,pok
049806_050228.wav,pok
175634_176126.wav,pok
285964_286582.wav,pok
071836_072498.wav,pok
222767_223150.wav,pok
013796_014110.wav,pok
063770_064198.wav,pok
065126_065548.wav,pok
033410_033832.wav,pok
121068_121459.wav,pok
061204_061848.wav,pok
258984_259521.wav,pok
261482_262069.wav,pok
094974_095560.wav,pok
121888_122244.wav,pok
031060_031536.wav,pok
091922_092352.wav,pok
140668_141114.wav,pok
190474_191134.wav,pok
214246_215000.wav,pok
159830_160430.wav,pok
142006_142452.wav,pok
016212_016634.wav,pok
287974_288694.wav,pok
098728_099230.wav,pok
085636_086006.wav,pok
056914_057312.wav,pok
239312_239808.wav,pok
094018_094388.wav,pok
110933_111422.wav,pok
081842_082314.wav,pok
264552_265126.wav,pok
043648_044052.wav,pok
146516_147094.wav,pok
218506_219098.wav,pok
055588_056046.wav,pok
156992_157508.wav,pok
255590_256026.wav,pok
266118_266650.wav,pok
194626_195130.wav,pok
101412_101846.wav,pok
104082_104516.wav,pok
034254_034616.wav,pok
150590_151376.wav,pok
002428_002868.wav,pok
004964_005602.wav,pok
142452_142934.wav,pok
102708_103166.wav,pok
050228_050626.wav,pok
203392_203980.wav,pok
114959_115466.wav,pok
039752_040162.wav,pok
219098_219714.wav,pok
181010_181736.wav,pok
254480_254819.wav,pok
136058_136510.wav,pok
108185_108650.wav,pok
248752_249667.wav,pok
089458_089918.wav,pok
220167_220771.wav,pok
212878_213314.wav,pok
104516_104950.wav,pok
278248_279172.wav,pok
251084_251460.wav,pok
120133_120658.wav,pok
037992_038384.wav,pok
287260_287974.wav,pok
110018_110458.wav,pok
286582_287260.wav,pok
042828_043250.wav,pok
262596_263260.wav,pok
069786_070160.wav,pok
153092_154280.wav,pok
191734_192526.wav,pok
053255_053629.wav,pok
085002_085636.wav,pok
104950_105420.wav,pok
154280_155006.wav,pok
031536_032024.wav,pok
128716_129072.wav,pok
123052_123456.wav,pok
