utterance,emotion
094562_094956.wav,sad
240010_240416.wav,sad
026395_027214.wav,sad
045182_045768.wav,sad
289868_290346.wav,sad
062188_062798.wav,sad
182346_183068.wav,sad
307483_308581.wav,sad
292200_292708.wav,sad
078024_078890.wav,sad
197586_198154.wav,sad
268486_269072.wav,sad
088244_088990.wav,sad
293162_293838.wav,sad
168354_168988.wav,sad
034408_035138.wav,sad
117902_118480.wav,sad
114035_114590.wav,sad
209034_209469.wav,sad
161694_162192.wav,sad
242484_243232.wav,sad
239084_239502.wav,sad
122372_123109.wav,sad
127178_127804.wav,sad
319411_320171.wav,sad
099430_100808.wav,sad
174564_175222.wav,sad
060566_061055.wav,sad
302871_303409.wav,sad
023626_024180.wav,sad
297754_298232.wav,sad
234223_234804.wav,sad
008824_009898.wav,sad
100808_101354.wav,sad
036736_037266.wav,sad
302423_302871.wav,sad
232198_232628.wav,sad
084672_085242.wav,sad
071304_072042.wav,sad
251142_251608.wav,sad
218771_219166.wav,sad
029083_029550.wav,sad
235276_235802.wav,sad
287692_288392.wav,sad
215752_216116.wav,sad
306076_306909.wav,sad
289450_289868.wav,sad
013308_014038.wav,sad
041418_041884.wav,sad
075856_076378.wav,sad
290776_291542.wav,sad
112006_112808.wav,sad
260208_260830.wav,sad
329153_330053.wav,sad
044332_045182.wav,sad
260830_261476.wav,sad
202496_202890.wav,sad
253342_253760.wav,sad
216873_217256.wav,sad
267518_267984.wav,sad
162192_163130.wav,sad
207140_207804.wav,sad
085964_086470.wav,sad
279140_279570.wav,sad
215394_215752.wav,sad
281340_281884.wav,sad
190358_191168.wav,sad
271732_272354.wav,sad
170368_170914.wav,sad
055838_056320.wav,sad
247148_247602.wav,sad
185564_186230.wav,sad
170914_171572.wav,sad
089624_090258.wav,sad
051670_052136.wav,sad
037266_037708.wav,sad
146138_146644.wav,sad
019886_020384.wav,sad
070108_070758.wav,sad
237578_238038.wav,sad
004272_004650.wav,sad
053084_053829.wav,sad
038254_038760.wav,sad
028538_029083.wav,sad
235802_236586.wav,sad
217256_217650.wav,sad
022230_022920.wav,sad
267984_268486.wav,sad
040944_041418.wav,sad
277980_278512.wav,sad
299209_299723.wav,sad
163130_163764.wav,sad
039916_040462.wav,sad
058341_058936.wav,sad
007148_007845.wav,sad
018086_018384.wav,sad
084118_084672.wav,sad
246478_247148.wav,sad
011366_012064.wav,sad
094280_094562.wav,sad
033412_033902.wav,sad
123848_124561.wav,sad
245588_246066.wav,sad
131022_131488.wav,sad
153328_154098.wav,sad
285664_286244.wav,sad
230878_231319.wav,sad
192684_193502.wav,sad
124561_125172.wav,sad
241300_241988.wav,sad
106388_107022.wav,sad
128261_128896.wav,sad
067844_068382.wav,sad
187694_188640.wav,sad
309806_311091.wav,sad
308581_309113.wav,sad
107504_108074.wav,sad
232628_233106.wav,sad
151684_152374.wav,sad
193502_194240.wav,sad
101964_102422.wav,sad
121922_122372.wav,sad
220819_221256.wav,sad
114590_115320.wav,sad
274818_275446.wav,sad
014038_014400.wav,sad
219960_220360.wav,sad
141034_142468.wav,sad
168988_169646.wav,sad
154876_155870.wav,sad
218384_218771.wav,sad
300541_300965.wav,sad
067082_067844.wav,sad
214480_214898.wav,sad
136332_136902.wav,sad
052586_053084.wav,sad
245044_245588.wav,sad
214038_214480.wav,sad
062798_063216.wav,sad
238038_238564.wav,sad
325977_326968.wav,sad
237034_237578.wav,sad
030489_031036.wav,sad
311091_312145.wav,sad
092610_093068.wav,sad
241988_242484.wav,sad
270016_270656.wav,sad
108074_108652.wav,sad
054858_055316.wav,sad
238564_239084.wav,sad
228176_228744.wav,sad
264596_265110.wav,sad
259360_259802.wav,sad
035138_035644.wav,sad
042430_042912.wav,sad
249019_249617.wav,sad
042912_043434.wav,sad
273550_273980.wav,sad
325077_325977.wav,sad
040462_040944.wav,sad
294436_295382.wav,sad
309113_309806.wav,sad
306909_307483.wav,sad
305404_306076.wav,sad
266502_267070.wav,sad
293838_294436.wav,sad
213650_214038.wav,sad
037708_038254.wav,sad
135762_136332.wav,sad
016560_016962.wav,sad
123109_123848.wav,sad
228744_229288.wav,sad
165256_165866.wav,sad
261869_262354.wav,sad
080736_081250.wav,sad
036182_036736.wav,sad
184352_184850.wav,sad
209469_209936.wav,sad
001918_002352.wav,sad
109454_109904.wav,sad
275446_276098.wav,sad
070758_071304.wav,sad
025850_026395.wav,sad
050682_051220.wav,sad
061055_061594.wav,sad
216116_216498.wav,sad
120204_120742.wav,sad
180420_180942.wav,sad
219166_219542.wav,sad
286244_287022.wav,sad
175222_175952.wav,sad
261476_261869.wav,sad
264088_264596.wav,sad
069554_070108.wav,sad
009898_010644.wav,sad
018746_019348.wav,sad
119426_120204.wav,sad
015532_016054.wav,sad
283296_283726.wav,sad
126208_127178.wav,sad
199438_200168.wav,sad
250294_250712.wav,sad
221256_221764.wav,sad
155870_156456.wav,sad
233769_234223.wav,sad
134808_135762.wav,sad
024180_024694.wav,sad
147190_147608.wav,sad
330876_331566.wav,sad
263448_264088.wav,sad
017556_018086.wav,sad
001220_001918.wav,sad
256432_257023.wav,sad
280880_281340.wav,sad
300141_300541.wav,sad
149188_149838.wav,sad
076948_077518.wav,sad
297318_297754.wav,sad
157010_158020.wav,sad
171572_172462.wav,sad
277120_277562.wav,sad
204588_205204.wav,sad
125758_126208.wav,sad
296446_296852.wav,sad
090258_091132.wav,sad
022920_023626.wav,sad
290346_290776.wav,sad
116314_116883.wav,sad
229288_229844.wav,sad
000000_001220.wav,sad
078890_079340.wav,sad
006104_006706.wav,sad
058936_059498.wav,sad
093068_093598.wav,sad
143386_143948.wav,sad
128896_129370.wav,sad
230417_230878.wav,sad
003100_003718.wav,sad
252002_252762.wav,sad
254686_255098.wav,sad
110570_111092.wav,sad
195782_196272.wav,sad
085242_085964.wav,sad
252762_253342.wav,sad
003718_004272.wav,sad
104750_105335.wav,sad
064170_065060.wav,sad
326968_327840.wav,sad
018384_018746.wav,sad
024694_025184.wav,sad
108652_109454.wav,sad
207804_208246.wav,sad
229844_230417.wav,sad
183654_184352.wav,sad
140416_141034.wav,sad
265110_265642.wav,sad
303983_304550.wav,sad
195460_195782.wav,sad
148522_149188.wav,sad
049108_049622.wav,sad
216498_216873.wav,sad
255098_255882.wav,sad
316193_317345.wav,sad
150400_151146.wav,sad
143948_144734.wav,sad
199068_199438.wav,sad
254219_254686.wav,sad
045768_046458.wav,sad
191168_191810.wav,sad
236586_237034.wav,sad
178078_178608.wav,sad
280150_280880.wav,sad
257023_257423.wav,sad
262354_262988.wav,sad
276098_276528.wav,sad
134054_134808.wav,sad
160210_160708.wav,sad
179690_180420.wav,sad
234804_235276.wav,sad
223196_223728.wav,sad
217650_218019.wav,sad
083210_083660.wav,sad
181848_182346.wav,sad
212338_212648.wav,sad
258482_258960.wav,sad
072042_072524.wav,sad
212648_212958.wav,sad
295382_295896.wav,sad
095888_096306.wav,sad
027960_028538.wav,sad
005156_005718.wav,sad
178608_179690.wav,sad
069000_069554.wav,sad
169646_170368.wav,sad
213286_213650.wav,sad
200490_200836.wav,sad
138394_138996.wav,sad
004650_005156.wav,sad
081724_082286.wav,sad
144734_145592.wav,sad
273980_274818.wav,sad
202890_203386.wav,sad
131488_132506.wav,sad
249617_250294.wav,sad
257423_258010.wav,sad
188640_189314.wav,sad
120742_121296.wav,sad
133468_134054.wav,sad
167832_168354.wav,sad
184850_185564.wav,sad
002352_002690.wav,sad
049622_050168.wav,sad
197108_197586.wav,sad
032810_033412.wav,sad
239502_240010.wav,sad
088990_089624.wav,sad
189804_190358.wav,sad
205669_206136.wav,sad
132506_133468.wav,sad
222898_223196.wav,sad
137496_138394.wav,sad
098314_098780.wav,sad
006706_007148.wav,sad
010644_011366.wav,sad
096306_096748.wav,sad
324051_325077.wav,sad
164710_165256.wav,sad
203386_203828.wav,sad
243232_243752.wav,sad
145592_146138.wav,sad
227064_227667.wav,sad
210396_210892.wav,sad
014400_014906.wav,sad
208616_209034.wav,sad
220360_220819.wav,sad
048546_049108.wav,sad
221764_222194.wav,sad
206740_207140.wav,sad
